Brand,Price,Rating,Rating_Count,Best_Seller_Rank_Home_Improvement,Best_Seller_Rank_Home_Security,Product_Title,Product_URL
OLUMAT,32183.0,0.0,8,0,0.0,"OLUMAT Smart Door Lock with WiFi Gateway, Keyless Entry Door Lock with Handle - Smart Locks for Front Door with Keypad - Fingerprint Door Lock with App Control - Auto Lock",https://amazon.in/OLUMAT-Smart-Gateway-Keyless-Handle/dp/B0CNXPDDF4/ref=sr_1_203?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-203
Dorset,5833.64,0.0,83,18092100,119.0,"Dorset Night Latch Lock - Key & Knob Model Inside Opening Doors- Smart Night Latch Lock for Wooden & Aluminium Doors - 5 Year Warranty | Pack of 5, Silver - SM101NS",https://amazon.in/Dorset-Rim-Lock-Inside-Opening/dp/B0B639GRFQ/ref=sr_1_204?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-204
samtechT,18041.55,0.0,2551,0,0.0,"Keyless-Entry Keypad Fingerprint Smart Lock: Digital Door Lock with Code Passcode, Electronic Door Handle, Biometric Door Knob for Entry Door, Bedroom Door (Silver)",https://amazon.in/Keyless-Fingerprint-Biometric-Passcode-Digital/dp/B08D29XQS7/ref=sr_1_205?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-205
Godrej Locking Solutions and Systems,14739.0,0.0,593,1397100,8.0,Godrej Smart Lock I Catus Connect I Digital Lock for Wooden Door | 5 in 1 Access I WiFi I Fingerprint I RFID Card I PIN Access I Mechanical Key I 3 Strong Locking Dead Bolts I Rose Gold I3 Yr Warranty,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjYyOTcwNDYwNDEyNzg6MTczMDA5NTE4NDpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMzU5MTg1MTM2NTMyOjoyOjo&url=%2FGodrej-Fingerprint-Mechanical-Locking-Warranty%2Fdp%2FB0CWRTM7T5%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D3MNJ4J5A0A3FY%26cv_ct_cx%3Dsmart%2Block%26dib%3DeyJ2IjoiMSJ9.gjDBywJGSKxwGggDtxmzQJvsYYxXNG7K-cTrJTGY6-1ZzLAFfXjJZLLvUEApjaksOaxiuBiNrnNIBCyZjntQgg.M_KoX93kkXyNAVmY4RYDfkw_LigSYNrJOlGm7_aCpKM%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26pd_rd_i%3DB0CWRTM7T5%26pd_rd_r%3Dbd9c082f-e609-4b90-8e47-32addc85d6a9%26pd_rd_w%3DUmKnf%26pd_rd_wg%3DJkvb3%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DHRRN4AH9DTY5SYPNKPGN%26qid%3D1730095184%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D1-195-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Qubo,8490.0,0.0,1472,1178100,5.0,QUBO Smart Door Lock Essential from Hero Group | 6-Way Unlocking | Fingerprint | PIN | RFID Card | Bluetooth Mobile App | Mechanical Key | OTP Access | 1 Year Brand Warranty | (Black),https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjYyOTcwNDYwNDEyNzg6MTczMDA5NTE4NDpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMzQ1NDEyNDg0NzMyOjozOjo&url=%2FQUBO-Essential-Unlocking-Fingerprint-Mechanical%2Fdp%2FB0BDFMGZVD%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D3MNJ4J5A0A3FY%26cv_ct_cx%3Dsmart%2Block%26dib%3DeyJ2IjoiMSJ9.gjDBywJGSKxwGggDtxmzQJvsYYxXNG7K-cTrJTGY6-1ZzLAFfXjJZLLvUEApjaksOaxiuBiNrnNIBCyZjntQgg.M_KoX93kkXyNAVmY4RYDfkw_LigSYNrJOlGm7_aCpKM%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26pd_rd_i%3DB0BDFMGZVD%26pd_rd_r%3Dbd9c082f-e609-4b90-8e47-32addc85d6a9%26pd_rd_w%3DUmKnf%26pd_rd_wg%3DJkvb3%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DHRRN4AH9DTY5SYPNKPGN%26qid%3D1730095184%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D1-196-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Godrej Locking Solutions and Systems,11549.0,4.4,298,5856100,38.0,Godrej Smart Lock I Catus Touch Plus I Smart Digital Lock for Wooden Door I 4 in 1 Access I Fingerprint I RFID I PIN Access I Mechanical Key I Rose Gold Finish I 3 Years Warranty,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjYyOTcwNDYwNDEyNzg6MTczMDA5NTE4NDpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMzU5MTkxNzAyNjMyOjo0Ojo&url=%2FGodrej-Digital-Fingerprint-Mechanical-Warranty%2Fdp%2FB0CJXQX5QC%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%253Aamzn1.sym.59126330-c308-4c36-a5a0-21cac002681f%26crid%3D3MNJ4J5A0A3FY%26cv_ct_cx%3Dsmart%2Block%26dib%3DeyJ2IjoiMSJ9.gjDBywJGSKxwGggDtxmzQJvsYYxXNG7K-cTrJTGY6-1ZzLAFfXjJZLLvUEApjaksOaxiuBiNrnNIBCyZjntQgg.M_KoX93kkXyNAVmY4RYDfkw_LigSYNrJOlGm7_aCpKM%26dib_tag%3Dse%26keywords%3Dsmart%2Block%26pd_rd_i%3DB0CJXQX5QC%26pd_rd_r%3Dbd9c082f-e609-4b90-8e47-32addc85d6a9%26pd_rd_w%3DUmKnf%26pd_rd_wg%3DJkvb3%26pf_rd_p%3D59126330-c308-4c36-a5a0-21cac002681f%26pf_rd_r%3DHRRN4AH9DTY5SYPNKPGN%26qid%3D1730095184%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dsmart%2Block%252Caps%252C209%26sr%3D1-197-2ec22325-1003-449d-8aaf-c0bcc24717ae-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Team Office,1999.0,0.0,0,0,0.0,"Team Office Invisible Smart RFID Cabinet Drawer Lock | Keyless Cabinet Lock | Electronic Drawer Lock, Double Socket Punch Free Safe Cabinets| Lockers Cash Drawers",https://amazon.in/Team-Office-Invisible-Electronic-Cabinets/dp/B0DJ15XD3W/ref=sr_1_206?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-206
Aqur2020,5280.0,0.0,0,0,0.0,Intelligent Fingerprint Lock Smart Electric Drawer Cabinet Lock for Home Office Wardrobe Furniture Biometric Security Devices,https://amazon.in/Intelligent-Fingerprint-Electric-Furniture-Biometric/dp/B0CFGDPYB1/ref=sr_1_207?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-207
ABEZ- be smart,11799.0,0.0,0,333679100,1065.0,ABEZ-be smart Digital Door Lock - CR20 (Ancient Bronze),https://amazon.in/ABEZ-be-smart-Digital-Door-Lock/dp/B09VBK36YC/ref=sr_1_208?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-208
Gsycle,4323.0,0.0,0,0,0.0,"Fingerprint Cabinet Lock, Smart Cabinet Lock Biometric Drawer Lock Fingerprint Drawer Lock Cabinet Lock Drawer Lock for Home Office",https://amazon.in/Fingerprint-Cabinet-Biometric-Drawer-Office/dp/B0CXJGR3DD/ref=sr_1_209?crid=3MNJ4J5A0A3FY&dib=eyJ2IjoiMSJ9._zUEnmCrdcn2sDDKHKoIEPeC2s879JzSb5Y77YAvtEkD0esIjD4_S1O5KVXGGjl0nakTpvKY1Q4br74GBprGoOXCi9LsulIb0oaxVlv1SURqhugfwFZw5_UYy0x3JmwqJ9HFP4TYg4UyF-a_-jV2E8RUAqz-DLj8_fUX2dI4X1dWC_slsX0wYt0iDAcaBwtDxhcvz6OvRC5a2svrucVKsJCcfRpyTm6J5mjwYyQhCDzBN35FCgDn2plQD28TkHvmfU72T7dGYtp82NHql6y_xcKlTKAEfqWTI6qObC2OqAA.TiwjC_wFS_jS9o8-GWN9I8-9Nm0Yqq3SFx9hsBg0pGI&dib_tag=se&keywords=smart+lock&qid=1730095184&sprefix=smart+lock%2Caps%2C209&sr=8-209
